Material_ID,Unit_Price,Stock_Levels,Lead_Time,Reorder_Point,Safety_Stock,Arrival Date,Ordering_Costs,Holding_Costs,Seasonality,Historical_Sales_Data,Supplier_ID
M211,488.84,899,15,67,92,9/4/2023,1770,3890,Low,9935,SUPPLIER_9
M176,240.64,845,9,178,62,9/8/2023,680,2650,Medium,9768,SUPPLIER_37
M466,362.25,77,7,44,40,10/27/2023,1050,2970,Low,3681,SUPPLIER_49
M060,147.47,995,8,81,77,9/19/2023,860,2510,Medium,5995,SUPPLIER_74
M499,304.76,399,7,113,40,9/14/2023,730,500,High,3704,SUPPLIER_82
,,770,14,64,12,,530,2040,High,5482,SUPPLIER_31
M212,145.68,628,6,33,97,10/25/2023,420,3850,High,5503,SUPPLIER_51
M382,359.49,613,5,118,62,10/3/2023,1770,1540,High,8181,SUPPLIER_79
M030,306.93,305,4,137,16,9/5/2023,220,710,Medium,1693,SUPPLIER_21
M244,56.16,368,9,193,23,9/26/2023,1540,2780,Medium,7843,SUPPLIER_54
M205,242.37,691,15,153,38,10/30/2023,1270,2520,Medium,3859,SUPPLIER_28
M405,115.17,439,6,144,90,10/8/2023,1000,2130,High,5218,SUPPLIER_15
M233,417.86,344,3,70,83,10/14/2023,980,4210,Low,1439,SUPPLIER_41
M405,265.81,833,7,110,55,9/16/2023,230,3540,Low,8315,SUPPLIER_37
M090,367.98,272,3,26,65,10/22/2023,1610,4260,Medium,9388,SUPPLIER_66
M381,213.46,492,11,122,94,10/18/2023,970,3140,Low,5672,SUPPLIER_32
M308,80.62,171,10,40,74,9/27/2023,920,4800,Medium,4283,SUPPLIER_27
,487d,166,7,151,96,,810,4980,Medium,8243,
M497,129.82,476,13,177,67,9/3/2023,1310,3890,Low,6667,SUPPLIER_77
M012,129.66,110,14,84,5,10/1/2023,290,3440,High,4884,SUPPLIER_6
M175,176.17,279,6,41,65,10/30/2023,1660,4040,High,7655,SUPPLIER_62
M041,352.34,589,11,152,97,9/27/2023,1790,2960,Medium,8220,SUPPLIER_25
M448,243.17,879,7,13,33,10/7/2023,870,980,Low,6736,SUPPLIER_51
M135,284.97,408,7,139,14,9/19/2023,600,1970,Medium,4705,SUPPLIER_31
M361,427.29,799,4,196,33,9/13/2023,1010,2530,Medium,9731,SUPPLIER_35
M449,287.9,380,6,136,87,9/13/2023,470,1850,Medium,5499,SUPPLIER_73
,391s,75,4,101,54,2023-n,1900,1540,Medium,5705,
,244h,935,5,60,31,,360,2540,Medium,2882,
M0f,276.62,272,7,185,95,,1720,2210,Low,6807,SUPPLIER_9
M186,497.05,305,7,33,69,10/8/2023,900,1780,High,6624,SUPPLIER_2
M253,121.93,991,14,191,29,9/18/2023,1690,3890,Low,4010,SUPPLIER_6
M298,170.62,693,6,141,62,10/20/2023,760,4290,Medium,7232,SUPPLIER_5
M078,227.61,199,14,44,93,9/17/2023,1100,4060,Low,8642,SUPPLIER_22
M3e,342i,230,14,60,60,2023-p,1430,2980,Medium,3094,SUPPLIER_52
M077,469.95,170,9,98,17,10/30/2023,1260,4690,High,1708,SUPPLIER_74
M199,376.27,30,9,64,9,10/30/2023,330,3180,High,4150,SUPPLIER_63
M179,419.84,648,9,43,58,9/22/2023,410,4130,Medium,4958,SUPPLIER_24
M350,380.36,796,5,96,69,10/10/2023,1390,4970,Medium,7338,SUPPLIER_15
,,903,4,131,91,10/3/2023,350,970,Medium,7018,SUPPLIER_39
M235,384.68,987,15,170,7,10/31/2023,310,1990,Low,9821,SUPPLIER_7
M461,114.32,933,3,136,26,10/31/2023,1800,710,Low,4250,SUPPLIER_55
M470,221.55,23,12,98,90,9/26/2023,1560,3230,Low,9960,SUPPLIER_62
M198,164,896,8,110,14,9/22/2023,1570,2410,Low,5115,SUPPLIER_65
M388,493.9,611,7,39,69,9/13/2023,560,3970,Medium,4837,SUPPLIER_30
M101,158.24,172,4,132,39,10/27/2023,1700,1030,Low,6193,SUPPLIER_52
M493,421.39,85,3,103,49,10/25/2023,920,2650,Medium,7503,SUPPLIER_45
,223w,121,5,197,86,9/3/2023,1240,510,Low,5918,
M009,361.34,452,15,191,99,10/20/2023,1590,2690,Medium,6517,SUPPLIER_16
M418,389.95,672,6,190,15,10/19/2023,1450,4910,High,3416,SUPPLIER_20
,498.94,319,12,31,73,,500,1560,Medium,7503,
M153,97.01,576,14,199,39,10/26/2023,1430,1510,Medium,6999,SUPPLIER_59
,,331,5,105,35,,770,800,High,9748,SUPPLIER_79
,,359,13,40,55,,940,1210,Medium,4541,
M073,201.19,1000,4,75,73,9/29/2023,360,4220,Low,3001,SUPPLIER_63
M332,164.33,741,8,89,94,9/24/2023,870,940,High,4727,SUPPLIER_51
,486y,512,9,86,15,,840,2480,High,6526,
M250,248.08,183,12,141,50,10/5/2023,1140,2740,Medium,1957,SUPPLIER_6
M298,413.79,436,6,192,5,10/15/2023,880,4960,Medium,2033,SUPPLIER_47
M397,287.06,246,7,176,7,10/23/2023,1120,1960,Low,6042,SUPPLIER_51
,,323,3,173,10,2023-u,810,3420,High,2406,
M131,145.55,657,11,178,75,9/28/2023,690,1510,High,3329,SUPPLIER_9
M313,223.22,103,3,153,54,9/5/2023,1340,1640,Medium,5447,SUPPLIER_68
M3p,,120,4,120,20,10/26/2023,1020,3760,High,5871,
M381,282.85,548,9,150,97,10/17/2023,920,4620,Medium,8730,SUPPLIER_80
M274,421.58,762,13,165,63,9/4/2023,810,1640,Medium,1240,SUPPLIER_15
M374,459.53,270,9,12,29,10/13/2023,1600,1780,Low,6183,
M119,66c,510,9,150,34,,570,1860,Low,9090,
M087,99.32,217,6,68,96,9/4/2023,1540,2810,High,4332,SUPPLIER_42
,,695,13,137,79,,1270,2980,Medium,7706,SUPPLIER_35
M180,119.04,669,5,100,12,9/3/2023,1860,730,Medium,8114,SUPPLIER_60
M128,487.9,256,3,11,41,9/30/2023,1680,4390,High,7841,SUPPLIER_49
M055,467.14,761,6,84,57,10/1/2023,710,2780,Medium,9398,SUPPLIER_20
M004,451.21,983,7,74,8,10/8/2023,1380,2570,Low,1264,SUPPLIER_15
M158,74.71,381,10,84,6,10/29/2023,1930,1830,High,5861,SUPPLIER_65
M217,450.93,439,14,179,37,10/19/2023,620,1640,High,2881,SUPPLIER_10
M075,476.36,687,4,41,25,10/18/2023,420,800,High,4884,SUPPLIER_27
M418,301.59,359,5,154,59,9/21/2023,1790,4450,High,2476,SUPPLIER_31
M061,,965,12,62,22,2023-q,620,1200,High,2472,SUPPLIER_82
M246,459.97,888,10,88,41,9/29/2023,920,3750,Low,7212,SUPPLIER_42
M295,462.32,709,12,148,63,9/18/2023,290,3340,Medium,8171,SUPPLIER_40
M402,286.53,927,11,74,19,9/10/2023,1230,2720,Medium,9071,SUPPLIER_3
M086,498.83,91,11,155,81,9/3/2023,1670,2390,Low,8327,SUPPLIER_17
M163,440.4,776,7,168,14,10/12/2023,1960,1710,High,2634,SUPPLIER_32
,,209,5,104,96,9/8/2023,1680,2290,Medium,5346,
M195,287.19,215,8,148,100,10/22/2023,1790,2830,High,5451,SUPPLIER_64
M375,416.92,443,6,129,10,9/24/2023,270,3270,Low,6088,SUPPLIER_2
M491,95.56,166,10,132,29,9/16/2023,1500,1250,High,7245,SUPPLIER_33
M001,288.42,897,8,46,43,10/6/2023,1760,3490,Medium,2370,SUPPLIER_12
M120,109.31,26,13,119,32,9/6/2023,940,1900,Medium,6052,SUPPLIER_61
M180,108.77,672,4,105,79,10/29/2023,1200,4270,Low,2309,SUPPLIER_20
M378,76.56,340,3,181,21,9/13/2023,530,2590,High,1679,SUPPLIER_79
M239,99.36,127,7,186,31,9/26/2023,580,3620,Low,5310,SUPPLIER_41
,,564,9,63,47,9/8/2023,570,4580,Medium,3438,
M1t,,463,11,136,47,2023-o,680,730,High,7848,SUPPLIER_67
,,727,12,37,70,,1340,4110,Low,3492,SUPPLIER_76
M376,380.04,298,10,110,31,9/24/2023,960,900,High,9043,SUPPLIER_12
M480,122.92,430,4,31,39,9/18/2023,400,4500,High,4379,SUPPLIER_73
,305y,211,7,172,48,2023-w,1790,3240,Medium,3306,
M391,409.64,836,9,109,85,9/8/2023,790,3250,High,3517,SUPPLIER_52
M377,497.61,962,3,164,87,9/13/2023,1260,2210,High,3450,SUPPLIER_27
M384,239.67,41,3,173,51,10/12/2023,1330,1260,Medium,3958,SUPPLIER_24
,,595,3,83,50,2023-z,330,1820,Medium,3144,SUPPLIER_10
M384,179.63,421,14,86,64,10/27/2023,1090,3910,Medium,8479,SUPPLIER_3
,261n,346,12,138,56,,600,2870,Medium,9926,SUPPLIER_75
M053,269.98,109,8,18,57,10/31/2023,290,3110,High,1355,SUPPLIER_3
M427,76.73,514,11,40,73,10/18/2023,1130,4130,Low,6938,SUPPLIER_71
M409,458.86,648,14,91,28,10/4/2023,1680,1490,Low,5610,SUPPLIER_82
,,680,9,73,99,,540,1220,Low,7606,SUPPLIER_57
,,448,14,59,79,,1960,1180,Medium,1856,SUPPLIER_12
M046,480.38,872,6,200,24,9/11/2023,1680,2130,Low,6543,SUPPLIER_28
M437,338.81,51,8,151,55,9/4/2023,1740,1680,Low,5015,SUPPLIER_7
,,395,9,106,51,,1070,3780,Low,3475,SUPPLIER_18
M238,458.41,962,7,136,44,,580,3860,Medium,7890,SUPPLIER_51
M117,205.5,796,14,84,71,10/9/2023,1880,4570,Low,7713,SUPPLIER_42
M072,246.43,856,6,128,97,10/31/2023,430,4950,Medium,7150,SUPPLIER_67
M202,464.92,179,8,131,70,10/12/2023,550,1650,Medium,9720,SUPPLIER_72
M198,,665,5,144,83,9/26/2023,1490,3680,Medium,3724,SUPPLIER_15
M108,443.32,784,4,79,33,10/5/2023,510,3530,High,1623,SUPPLIER_35
M1f,376g,787,9,54,64,,1760,2900,High,1988,SUPPLIER_21
M427,162.86,38,15,23,80,9/22/2023,510,4240,High,8085,SUPPLIER_51
M011,262.54,674,14,66,86,9/12/2023,1810,3610,High,6164,SUPPLIER_42
M076,,963,10,144,59,,330,1490,High,6565,SUPPLIER_72
M088,289.08,374,14,38,97,9/8/2023,520,2030,High,2418,SUPPLIER_41
M299,400.28,597,5,153,85,10/30/2023,330,3150,Low,4648,SUPPLIER_9
,,828,5,187,79,,250,3360,High,8439,
M451,101.03,694,8,196,77,10/6/2023,2000,3300,Medium,1578,SUPPLIER_7
M347,,829,9,194,10,2023-d,700,580,High,5677,
M051,416.54,721,11,104,97,10/17/2023,1790,500,High,2528,SUPPLIER_30
,150t,351,5,120,29,2023-o,800,1600,High,5361,
M043,171.74,116,8,171,52,10/28/2023,1360,2730,Medium,3445,SUPPLIER_25
M1a,,78,14,12,8,2023-h,1570,2290,Medium,1948,
M0b,,469,5,93,7,2023-f,1950,2060,High,7583,
,,347,6,118,77,2023-n,1260,3000,Medium,8536,
M039,63.21,787,5,104,12,10/29/2023,490,2960,High,6035,SUPPLIER_36
M281,116.92,952,5,102,67,9/10/2023,1010,2020,High,5048,SUPPLIER_26
M056,285.74,752,10,178,69,10/4/2023,1070,3340,Low,6430,SUPPLIER_52
,465z,289,10,173,46,2023-o,1660,3040,High,9061,SUPPLIER_38
M183,379.25,249,3,77,8,10/12/2023,820,4640,High,8926,SUPPLIER_34
M346,72.85,983,13,69,50,10/31/2023,220,4930,Medium,2741,SUPPLIER_2
M004,142.1,840,3,73,82,10/3/2023,1080,4650,High,1994,SUPPLIER_18
M410,435.08,401,8,20,47,10/16/2023,310,2560,High,7793,SUPPLIER_8
M3j,,279,9,36,35,,570,3370,High,7056,
M210,443.55,913,9,108,73,10/30/2023,400,3760,Low,1330,SUPPLIER_47
M144,147.91,157,15,103,91,9/30/2023,970,4340,High,1376,SUPPLIER_54
,83u,256,14,25,44,,1700,770,High,7291,SUPPLIER_45
M274,395.7,658,11,10,35,10/19/2023,1550,4370,Low,4266,SUPPLIER_5
M207,89.88,491,3,146,55,9/12/2023,1220,1950,Medium,7712,SUPPLIER_33
M427,208.09,859,4,144,46,9/14/2023,920,4980,Medium,3996,SUPPLIER_58
M162,162.46,444,14,176,7,10/30/2023,220,3020,Medium,7980,SUPPLIER_77
M102,158.69,446,9,53,78,10/28/2023,1480,4930,Medium,3975,SUPPLIER_9
M012,212.1,503,11,164,94,,940,900,High,1029,SUPPLIER_14
M402,493.87,252,13,91,51,9/18/2023,1510,4380,Low,1915,SUPPLIER_42
M434,84.16,251,12,199,100,10/15/2023,1040,2290,High,1865,SUPPLIER_27
M485,59.87,178,6,71,81,9/18/2023,1510,3040,High,3609,SUPPLIER_64
M279,126.07,165,12,178,30,10/26/2023,1790,1180,Low,2590,SUPPLIER_81
M447,429.05,715,9,86,70,9/28/2023,770,1910,Medium,5710,SUPPLIER_55
M495,181.91,261,6,148,58,10/28/2023,1230,4640,High,6382,SUPPLIER_68
M349,431.6,699,9,10,43,9/22/2023,310,3150,Medium,8151,SUPPLIER_22
M286,285.98,637,4,25,82,9/26/2023,310,4460,Low,8432,SUPPLIER_10
M012,,858,6,40,81,,820,3990,Medium,4844,SUPPLIER_83
,444y,562,11,171,17,,1370,4810,Medium,8766,
M001,191.01,687,13,119,20,10/31/2023,1780,3100,Medium,1999,SUPPLIER_23
M058,66.56,848,15,116,13,9/4/2023,1550,2030,Medium,3389,SUPPLIER_8
M219,64.51,179,5,187,19,10/2/2023,1260,1810,High,7247,SUPPLIER_78
M264,217.6,309,7,79,80,10/8/2023,260,4850,Low,1291,SUPPLIER_16
M234,116.48,739,5,101,25,9/7/2023,1910,2970,High,7803,SUPPLIER_64
M268,176.31,242,4,33,64,9/29/2023,1000,3650,Low,4513,SUPPLIER_55
M460,134.39,678,9,25,25,9/4/2023,890,3960,Medium,8534,SUPPLIER_20
,16j,25,3,147,26,,1070,3350,High,5491,
M154,240.88,69,12,141,54,9/15/2023,1830,1850,High,6388,SUPPLIER_45
M192,262.37,121,14,116,16,9/11/2023,780,3700,Low,7022,SUPPLIER_49
M309,176.49,86,13,15,18,9/28/2023,820,4680,High,1560,SUPPLIER_32
M387,436.67,160,8,151,47,10/8/2023,1290,910,Medium,3696,SUPPLIER_21
,,862,12,165,74,2023-m,810,2170,High,4372,
,236r,256,7,148,71,,1220,3110,High,1585,SUPPLIER_76
M247,405.4,908,4,164,100,10/30/2023,1250,3970,High,8115,SUPPLIER_15
M381,435.17,113,13,53,41,9/12/2023,1220,1620,High,2579,SUPPLIER_70
,,599,3,81,85,,960,1750,Medium,6970,SUPPLIER_58
M268,426.77,49,4,85,35,10/25/2023,700,1250,Low,6371,SUPPLIER_36
,192,337,11,17,57,,1810,1590,High,2808,SUPPLIER_60
M011,291.17,734,8,57,17,9/30/2023,580,2980,Low,8508,SUPPLIER_69
M247,157.99,159,7,117,33,9/26/2023,1400,4820,High,9602,SUPPLIER_71
M3v,55.79,427,9,54,18,2023-i,1840,4940,High,5453,
M225,362.52,685,10,14,29,10/17/2023,1650,3950,High,6521,SUPPLIER_68
M197,321.92,339,13,14,66,10/10/2023,1670,4190,Low,2079,SUPPLIER_57
M234,218.55,720,10,118,18,9/15/2023,350,760,Low,6144,SUPPLIER_10
M273,153.51,227,13,141,74,10/17/2023,1830,1050,High,5508,SUPPLIER_52
,43a,518,11,67,100,10/4/2023,1130,2760,High,8096,
M394,363.02,574,9,72,66,10/20/2023,1490,4310,Low,3341,SUPPLIER_22
M404,241.23,878,13,153,16,10/26/2023,1600,3720,High,5535,SUPPLIER_17
M023,71.97,277,6,137,60,10/6/2023,1590,530,High,6450,SUPPLIER_83
M4i,55.53,396,14,134,30,,1870,2350,Low,2906,
M4p,,583,11,83,99,10/10/2023,1990,4890,High,4850,SUPPLIER_76
M045,107.42,264,15,175,76,10/5/2023,780,3450,Medium,6610,SUPPLIER_20
M344,416.28,686,11,169,18,9/12/2023,540,920,High,9465,SUPPLIER_9
M160,114.4,432,8,192,5,10/26/2023,1600,3290,Medium,6271,SUPPLIER_17
M389,414.05,851,10,21,56,,760,3420,High,9768,SUPPLIER_7
M110,214.44,960,12,47,100,9/2/2023,270,2920,High,9764,SUPPLIER_14
,59v,711,14,40,11,2023-z,280,4310,High,4171,SUPPLIER_22
M011,107.33,384,3,46,8,9/3/2023,1730,4980,Low,1365,SUPPLIER_27
M295,284.81,392,9,180,62,10/21/2023,1660,1030,Low,9026,SUPPLIER_69
,46w,888,12,56,78,,360,3600,Low,8142,
M378,223.35,871,3,125,26,9/17/2023,1600,4130,Medium,8640,SUPPLIER_79
M150,351.74,267,7,109,41,9/14/2023,1910,3540,High,1221,SUPPLIER_13
M021,437.37,521,9,114,43,10/15/2023,530,3280,Low,1691,SUPPLIER_47
M347,230.39,186,14,178,62,10/7/2023,1670,2240,Low,7642,SUPPLIER_50
M023,225.23,759,3,124,20,10/1/2023,780,700,Medium,9095,SUPPLIER_1
M456,338.01,38,9,74,41,10/13/2023,1530,4840,Medium,5049,SUPPLIER_63
M028,145.57,624,9,173,58,9/16/2023,1270,3460,High,7396,SUPPLIER_6
M259,153.36,638,9,200,58,9/24/2023,340,2550,Medium,3725,SUPPLIER_17
M183,349.13,925,6,87,60,9/7/2023,760,850,Low,4969,SUPPLIER_48
M457,77.4,631,4,189,33,10/17/2023,640,780,Medium,4635,SUPPLIER_10
M0q,217a,648,15,97,31,,1350,1640,Medium,8356,
M346,105.05,849,4,79,63,10/29/2023,990,4530,High,3186,SUPPLIER_71
M056,294.51,521,8,57,33,10/2/2023,1190,3410,Medium,6696,SUPPLIER_46
M494,70.12,861,6,113,85,9/28/2023,1640,2730,Medium,4072,SUPPLIER_64
M011,167.3,643,6,121,18,10/3/2023,1810,3580,High,4125,SUPPLIER_68
,282w,126,9,37,66,,1910,4090,Low,1730,
M127,75.79,762,5,188,53,10/28/2023,380,1990,Low,7057,SUPPLIER_78
M131,91.9,66,13,101,37,10/5/2023,780,3660,Medium,8016,SUPPLIER_12
M426,437d,658,3,175,8,10/14/2023,1810,3680,Low,1895,
M378,52.22,722,13,99,14,10/2/2023,1270,1990,Low,2021,SUPPLIER_29
M486,475.82,433,11,63,96,9/9/2023,330,1440,Low,2015,SUPPLIER_46
,,277,5,120,60,2023-a,1980,2270,High,1012,
M169,315.6,456,10,187,16,10/26/2023,1960,2250,High,4811,SUPPLIER_82
M217,50.96,724,8,120,78,10/13/2023,1690,2830,High,7551,SUPPLIER_32
M483,438.11,840,15,71,13,9/14/2023,1310,2000,High,3103,SUPPLIER_17
M004,,167,14,43,23,,1660,2220,Low,3645,SUPPLIER_32
M132,211.24,35,7,166,80,9/17/2023,1180,2540,High,3510,SUPPLIER_69
,395w,236,14,191,10,10/13/2023,740,2860,High,8331,SUPPLIER_61
M484,335.66,216,5,165,26,10/30/2023,760,1290,Low,4172,SUPPLIER_78
M055,356.23,76,10,115,31,9/5/2023,620,1710,High,7380,SUPPLIER_19
M174,309.3,800,3,118,30,9/23/2023,1750,4380,High,7879,SUPPLIER_77
M255,59.86,821,3,131,83,10/22/2023,1160,530,High,6034,SUPPLIER_33
M456,373.49,721,8,71,84,9/20/2023,1940,880,Low,7386,SUPPLIER_52
M051,349.85,450,4,144,49,9/8/2023,210,1340,Low,4182,SUPPLIER_66
M465,58.76,799,12,106,57,10/23/2023,2000,2060,Medium,1198,SUPPLIER_23
M308,297.31,183,4,181,69,9/13/2023,590,3110,High,7923,SUPPLIER_5
M323,93.06,123,5,73,17,9/21/2023,1880,4130,Low,9624,SUPPLIER_28
M040,480.05,962,4,59,41,9/25/2023,940,3740,High,5177,SUPPLIER_75
M314,58.65,456,4,177,56,9/19/2023,670,3730,High,8066,SUPPLIER_58
,467.53,521,13,53,11,,760,2090,High,7281,SUPPLIER_1
,490c,989,10,70,52,,1820,2830,Medium,5630,
M080,326.67,345,8,46,49,9/2/2023,1940,4310,High,3402,SUPPLIER_32
M175,321.71,630,13,185,81,10/9/2023,960,4140,High,3147,SUPPLIER_9
M053,320.96,239,7,165,12,10/22/2023,1310,1350,Low,5857,SUPPLIER_66
M198,159.04,526,8,104,91,9/2/2023,1940,3710,Medium,3426,SUPPLIER_50
M111,82.77,312,8,145,92,10/12/2023,670,2860,High,8013,SUPPLIER_41
M313,,807,13,198,92,,1920,1600,Low,6429,
M297,414.06,219,10,54,78,9/25/2023,1480,3920,High,2230,SUPPLIER_15
,,416,12,11,71,9/22/2023,1260,2150,Medium,4387,SUPPLIER_26
,189e,51,14,133,11,10/10/2023,530,2730,High,7397,SUPPLIER_77
,418.41,809,5,39,21,2023-h,1070,3530,Low,4442,SUPPLIER_74
,,414,15,50,55,,530,4250,Medium,3924,
M186,74.33,49,15,74,84,9/27/2023,1620,1740,High,4678,SUPPLIER_13
M007,370.49,794,3,67,66,10/27/2023,1170,2570,Medium,4857,SUPPLIER_38
M451,342.02,108,8,193,47,10/28/2023,870,3650,High,6947,SUPPLIER_42
M223,224o,420,3,50,47,,370,2930,Medium,8235,
M3i,302.63,551,6,173,73,,210,550,Low,8770,SUPPLIER_73
M322,69.81,646,11,184,7,10/8/2023,680,1480,High,9002,SUPPLIER_44
M480,171.89,404,8,164,47,10/8/2023,270,4960,Low,4410,SUPPLIER_23
M005,,738,6,19,97,,870,670,Medium,7378,SUPPLIER_63
M2i,465r,596,11,80,20,,470,2450,High,5507,SUPPLIER_60
M2q,247e,190,5,94,93,2023-a,2000,830,Low,9095,SUPPLIER_3
,,279,10,187,7,2023-l,1860,4720,Low,6803,
M026,127.47,772,4,98,88,10/20/2023,1350,4120,Low,3750,SUPPLIER_79
M1p,,282,10,151,66,10/4/2023,560,1130,Medium,2538,
M343,425.19,949,12,54,73,10/3/2023,1370,4900,Low,4094,SUPPLIER_16
M327,90.28,441,15,182,97,10/10/2023,430,4470,Low,4262,SUPPLIER_9
M076,218.69,753,11,133,7,9/15/2023,1820,4910,Medium,6886,SUPPLIER_40
,291.13,982,4,153,29,10/31/2023,1800,2550,High,7092,
M050,187.14,658,11,188,95,9/22/2023,260,3430,High,9887,SUPPLIER_17
M093,,672,12,143,58,10/6/2023,1640,1680,Low,4259,
M287,183.82,795,13,192,39,10/22/2023,1810,4920,Low,9720,SUPPLIER_13
M187,75.88,820,3,54,6,9/11/2023,670,3320,Medium,2560,SUPPLIER_8
,245.67,929,10,112,88,9/27/2023,200,1390,Low,3831,
M325,62.58,417,10,75,79,9/29/2023,1500,690,Low,2614,SUPPLIER_49
M287,302.73,82,9,154,100,9/2/2023,940,1850,Low,9461,SUPPLIER_5
M114,282,190,14,148,17,10/26/2023,820,510,Medium,9874,SUPPLIER_32
M287,,504,14,42,19,2023-c,950,1880,Medium,8240,
M354,377.87,829,10,192,68,10/2/2023,1000,3460,Medium,1143,SUPPLIER_29
M051,286.26,148,14,51,91,10/1/2023,1800,1460,Medium,4776,SUPPLIER_55
M051,483.24,358,14,95,65,9/8/2023,1140,1510,High,1615,SUPPLIER_36
M230,50.62,575,14,184,36,9/17/2023,1940,1700,High,6095,SUPPLIER_6
M491,154.11,634,8,24,54,9/16/2023,220,1660,High,1166,SUPPLIER_38
,136.8,387,14,58,22,9/24/2023,1290,2870,Medium,4075,SUPPLIER_68
M232,135.55,310,13,133,81,10/19/2023,360,780,High,3710,SUPPLIER_53
M2v,214x,400,11,143,54,,1660,4410,High,7295,SUPPLIER_15
,,199,14,88,86,,1020,4250,Medium,9733,SUPPLIER_58
,,69,14,195,97,10/29/2023,1110,2360,Medium,3672,SUPPLIER_16
