Location,Date,Temperature,Humidity,Wind_Speed,CO2_Ambient_Level
Sfax,7/24/2024,11.7,93,14.6,470.13
Sfax,7/29/2024,26.1,77,19.6,361.3
Sousse,10/14/2024,13.5,78,2,480.56
Gabès,5/5/2024,30.9,45,16.3,475.43
Gabès,4/21/2024,14,50,13.6,436.61
Nabeul,3/12/2024,16.8,73,19.8,389.73
Nabeul,7/25/2024,33.4,65,9.1,449.3
Nabeul,1/14/2025,40.8,91,5.2,422.9
Gabès,2/15/2024,41.8,51,13.4,464.08
Sfax,10/28/2024,31.4,77,0.8,498.78
Tunis,10/27/2024,39.2,87,12.7,486.44
Nabeul,4/28/2024,43.2,28,10.1,385.88
Gabès,7/17/2024,28.2,26,1,438.85
Sousse,8/1/2024,35.5,34,6.1,480.12
Sousse,12/17/2024,15.5,70,4.4,467.32
Sousse,9/4/2024,24.3,66,11.1,395.88
Nabeul,9/23/2024,11.5,78,14.3,382.73
Tunis,12/9/2024,16.3,82,3.7,374.53
Sfax,5/13/2024,35.5,84,19.7,365.58
Nabeul,6/10/2024,45,31,12.8,372.94
Tunis,10/2/2024,32.2,56,8,498.12
Tunis,2/26/2024,17.3,78,2.9,382.11
Sfax,7/26/2024,32.3,73,8,460.13
Gabès,12/1/2024,27.7,32,18.5,370.29
Sousse,4/20/2024,35.6,,6.1,419590
Gabès,5/4/2024,38.1,99,12.9,467.19
Gabès,5/20/2024,13.1,22,9.8,458.75
Nabeul,10/25/2024,41.2,67,18.5,489.43
Nabeul,1/16/2025,24.9,61,1.9,460.62
Tunis,2/4/2024,42.6,80,13.4,420.79
Nabeul,4/4/2024,32.5,70,4.1,451.85
Tunis,3/7/2024,667.8,,7.3,381.27
Sousse,6/30/2024,242.4,65,12.4,450910
Nabeul,11/22/2024,13.1,97,8.4,354.76
Nabeul,10/7/2024,11.1,47,8.8,405.24
Nabeul,8/13/2024,41.2,24,11.5,432.17
Tunis,5/1/2024,34.3,56,13.4,466.56
Sousse,11/13/2024,13.7,49,0.8,491.42
Tunis,1/5/2025,30,69,1.4,353.72
Sfax,10/27/2024,40.2,26,11.1,486.23
Sousse,11/13/2024,16.2,59,11.3,401.14
Tunis,5/6/2024,32.4,34,3.4,380.69
Nabeul,1/1/2025,27.9,82,0.7,368.63
Sfax,3/23/2024,10.7,36,4.4,363.07
Nabeul,7/10/2024,21.3,,7.7,433.7
Tunis,5/1/2024,18.1,90,2.2,378.9
Sousse,7/13/2024,21.8,47,5.2,366.05
Gabès,8/1/2024,26.2,97,10.2,428.47
Sfax,8/23/2024,19.2,100,19.6,427.13
Gabès,2/13/2024,44.7,60,9.5,377.62
Sousse,9/13/2024,34.3,98,9.9,460.99
Tunis,12/26/2024,10.8,70,18.4,456.81
Tunis,9/21/2024,2958.5,,7.6,410.47
Tunis,9/10/2024,26.2,72,8.4,432.77
Sfax,1/14/2025,vignt,51,3.9,467.8
Nabeul,2/4/2024,18.4,97,11.4,443.76
Gabès,4/12/2024,26.6,52,4.8,350.58
Tunis,1/29/2024,40.8,57,2.2,434.28
Gabès,1/22/2024,15,34,16,472.01
Nabeul,3/2/2024,11.9,50,1.4,359.57
Nabeul,11/23/2024,18.9,64,8,423.87
Nabeul,7/9/2024,28,80,16.9,494.86
Sousse,3/31/2024,21.8,21,8.6,368.32
Nabeul,6/24/2024,10.6,72,10.3,366.11
Sfax,1/28/2024,34.5,52,10.3,489.05
Nabeul,10/8/2024,31.3,21,11.8,373.09
Sfax,7/3/2024,28.9,89,14.6,350.65
Nabeul,6/22/2024,44.3,77,17.8,378.1
Nabeul,11/2/2024,19.6,71,12,413.63
Gabès,7/1/2024,44.8,63,13.3,498.66
Sfax,10/11/2024,23.2,87,0.9,361.75
Sousse,11/2/2024,vignt,96,7.5,358810
Nabeul,7/21/2024,32.2,84,8.6,467.79
Sousse,5/26/2024,31.7,42,2.4,468.6
Nabeul,2/1/2024,vignt,,7.2,350.64
Sfax,10/4/2024,27.4,74,7.5,471.45
Sousse,9/29/2024,41.1,83,2.5,395.05
Sfax,5/19/2024,25.5,94,17,462760
Sfax,8/5/2024,25.5,77,6.8,403.34
Nabeul,4/8/2024,14.6,56,4.3,384.33
Sfax,3/4/2024,39.6,45,15,391.51
Sfax,6/3/2024,30.4,64,6.6,365.27
Sousse,1/29/2024,43.9,32,10.6,429.22
Gabès,7/5/2024,33.8,29,8.2,424.48
Sfax,2/8/2024,34.4,,8.2,497.55
Sfax,4/22/2024,36.1,39,2,489.49
Nabeul,8/31/2024,28.9,56,19.3,391.41
Sfax,8/24/2024,43.8,79,12.5,387.76
Gabès,10/5/2024,30.7,34,4.7,447.33
Sfax,2/14/2024,23.5,,9.6,396580
Gabès,5/16/2024,20.4,30,7.4,488.58
Tunis,7/2/2024,12.3,51,11.3,367
Sfax,9/10/2024,10.5,55,17.8,368.12
Sfax,11/1/2024,38.3,33,8.2,357.72
Nabeul,10/17/2024,23.4,83,8.7,431.35
Gabès,12/14/2024,17.7,52,13.3,449.26
Tunis,5/20/2024,34,67,10.5,381.46
Nabeul,6/24/2024,36.6,90,13.2,447.5
Nabeul,12/7/2024,12.2,60,5.4,466.08
Sousse,12/19/2024,27.3,47,2.9,405.04
Sousse,10/1/2024,14.6,67,3.2,433.11
Sousse,10/7/2024,11.8,77,12.8,472.27
Nabeul,4/17/2024,10.2,46,6.2,373.33
Gabès,1/12/2025,31,26,13.7,490.95
Sfax,5/1/2024,2740.5,,16.5,410.51
Tunis,3/12/2024,33.5,54,5.7,365.21
Tunis,8/12/2024,19.5,94,1,367.94
Tunis,5/30/2024,15.8,24,17.9,369.92
Tunis,2/5/2024,21.9,59,14,418.17
Sfax,1/30/2024,35.5,64,10.4,438
Sousse,9/4/2024,32,38,12.9,467.91
Sfax,2/11/2024,39.4,62,12.1,397.52
Gabès,6/26/2024,21.3,22,5.9,493.98
Tunis,6/23/2024,24.2,49,6.2,496.13
Tunis,11/11/2024,21.9,95,10.3,369.87
Gabès,10/11/2024,38.2,84,10.5,358
Nabeul,10/28/2024,19.7,65,15.8,385.8
Gabès,11/9/2024,22.2,99,19.8,423.72
Gabès,3/20/2024,35.9,54,4.9,451.94
Tunis,12/13/2024,16.5,31,6,391.33
Nabeul,2/21/2024,33.6,22,19.5,470.45
Nabeul,8/22/2024,18.7,,12.4,485.72
Gabès,5/3/2024,18.2,88,1.3,428.9
Sousse,7/14/2024,28.5,92,13.6,484.87
Nabeul,9/28/2024,42,28,13.4,353.38
Nabeul,9/5/2024,1976.4,,4.3,482320
Sousse,12/2/2024,27.2,26,6.8,409.95
Tunis,5/30/2024,25.4,68,15.8,454.38
Nabeul,9/25/2024,11.3,38,8.1,379.57
Sfax,3/6/2024,37.6,48,18,370.02
Gabès,3/27/2024,22.5,43,3.3,487.9
Nabeul,12/24/2024,19.1,63,6.7,486.02
Tunis,11/28/2024,18.8,43,13.5,436.01
Sousse,1/10/2025,18.6,58,10.1,384.96
Gabès,9/9/2024,27.9,59,10.7,373910
Sfax,11/25/2024,16.6,92,13.2,480.93
Nabeul,6/1/2024,350.4,35,9.7,471.41
Sousse,8/16/2024,35.6,36,17.3,461.62
Nabeul,5/28/2024,28.2,43,7.5,367.85
Sfax,6/22/2024,28.3,40,12.3,385.92
Tunis,2/25/2024,27.7,44,13.7,474.94
Nabeul,8/10/2024,12.8,79,12.1,470.66
Tunis,5/22/2024,23.9,25,4.1,365.78
Tunis,1/30/2024,38.1,79,9,466.83
Gabès,6/19/2024,42.2,40,17.9,389.52
Sfax,10/4/2024,21.7,88,8.5,369.01
Sfax,2/27/2024,12.9,25,7.5,390.24
Gabès,8/19/2024,11.1,83,12.9,363.18
Nabeul,5/22/2024,30,63,13.7,391130
Tunis,8/14/2024,37.9,40,12.6,379.7
Sousse,1/24/2024,16.7,97,3.2,390.22
Gabès,9/29/2024,36.1,33,18.5,374.7
Gabès,8/10/2024,43.9,60,19.8,378.23
Sfax,10/20/2024,28,81,3.7,370.55
Gabès,6/9/2024,28.5,76,17.1,469.55
Sfax,5/29/2024,25.9,59,11.1,489.5
Nabeul,6/10/2024,44.3,77,13.6,362.07
Gabès,12/21/2024,33.6,54,18.5,424.42
Gabès,4/14/2024,26.5,66,14.3,460.66
Tunis,6/20/2024,41.8,48,11.1,486.87
Nabeul,11/1/2024,24.9,31,12.8,485.3
Gabès,4/9/2024,11.3,23,5.2,404.26
Sousse,5/30/2024,27.7,79,10.3,391.64
Sfax,7/1/2024,26.5,57,18.5,490.61
Gabès,5/30/2024,25.3,99,10.3,443.54
Sfax,11/29/2024,30.1,76,6.1,464.33
Sfax,9/22/2024,vignt,,13.1,388.41
Sfax,2/27/2024,16.2,70,2.3,394.51
Sfax,6/30/2024,21.3,88,15.6,358.43
Gabès,12/20/2024,26.5,23,19,472.44
Sousse,2/12/2024,22.4,82,18.2,442.64
Tunis,3/17/2024,40.4,42,5,443.78
Gabès,11/13/2024,18.9,75,9.6,352.19
Sousse,7/9/2024,17.1,,17.1,400250
Sousse,8/30/2024,2150.7,,9.4,368.97
Nabeul,4/13/2024,32.6,,0.9,406.27
Nabeul,12/5/2024,vignt,,18.5,479380
Sfax,1/18/2024,19.5,69,11.8,471.94
Tunis,11/30/2024,10.5,68,19.2,481.07
Sfax,11/25/2024,19.3,34,10.7,392.64
Tunis,9/4/2024,27.2,96,2.5,406.68
Nabeul,6/18/2024,37.9,32,7.5,365.52
Gabès,9/8/2024,23.7,48,10.2,493.57
Tunis,11/9/2024,27.8,87,10.1,354.15
Sfax,8/19/2024,25,57,9.6,490.44
Sfax,8/29/2024,11.4,50,6.3,452.79
Sfax,8/12/2024,20.3,81,18.6,440.58
Nabeul,8/21/2024,43.1,50,4.5,388.39
Sfax,5/29/2024,39.1,89,19.8,359.97
Sousse,9/16/2024,vignt,90,11.6,428.12
Gabès,5/20/2024,16.4,24,1.7,397.53
Nabeul,11/6/2024,15.8,81,11.7,352.33
Gabès,10/2/2024,10.4,40,18.6,484.73
Gabès,6/23/2024,35.8,,17.5,365.96
Sfax,6/12/2024,19.1,77,2.5,410.26
Gabès,8/28/2024,26.2,28,17.3,446.82
Tunis,1/15/2025,30.8,53,16.5,432.18
Sfax,1/24/2024,15,20,4.4,468.83
Sfax,12/9/2024,33.9,40,14.2,434.94
Gabès,4/2/2024,10.3,91,2.2,387.09
Gabès,12/11/2024,37.8,90,6.9,455.52
Gabès,7/16/2024,31.8,58,4.2,381.73
Tunis,6/7/2024,34.3,22,6.2,391.44
Gabès,1/3/2025,15.1,65,10.7,433.5
Sousse,7/12/2024,30.5,36,6.8,452950
Gabès,4/20/2024,43.8,54,15.3,425390
Nabeul,10/11/2024,31.4,89,18.5,426.2
Nabeul,12/1/2024,20.8,74,19.5,490.37
Sousse,4/18/2024,32.8,74,3.8,392.57
Nabeul,7/11/2024,28.8,22,7.6,488080
Gabès,12/1/2024,26.4,42,7.9,486.66
Sousse,9/24/2024,20.8,71,1.5,389.06
Nabeul,6/19/2024,36.6,88,19.7,376.55
Sousse,8/26/2024,38.6,56,1.3,489.24
Sfax,1/2/2025,38.5,29,14.5,442.43
Sousse,7/23/2024,38.3,99,13.2,469.2
Sfax,9/18/2024,654.1,37,9.3,412.2
Sfax,6/21/2024,11.5,26,9.3,432.15
Tunis,4/26/2024,14.5,84,14.5,451.23
Gabès,4/15/2024,24.8,23,11.9,451.8
Gabès,12/20/2024,1182.2,38,6.1,392470
Tunis,10/5/2024,44.1,62,4.2,428.08
Nabeul,4/12/2024,30.4,91,16.5,437.92
Sfax,4/5/2024,32,85,6.2,438.22
Nabeul,6/23/2024,20.1,27,8.5,391.24
Tunis,4/16/2024,13.6,56,10.9,364.84
Gabès,6/14/2024,1080,,4.7,396.04
Sousse,10/7/2024,11.7,95,6.2,428.46
Tunis,7/18/2024,10.3,95,4.2,434
Tunis,3/25/2024,32.4,93,13.6,448.71
Tunis,3/14/2024,32.2,100,1.2,421.15
Sfax,6/6/2024,26.7,90,10.7,485.42
Sousse,4/11/2024,12.8,53,9.9,369
Sfax,11/22/2024,31.6,90,16.1,426.55
Tunis,9/15/2024,915.2,,9.7,488330
Sousse,6/21/2024,24.6,40,17,480.54
Sousse,6/8/2024,23.7,82,17.9,469.33
Sousse,7/25/2024,22.1,64,2,399.95
Sousse,3/1/2024,vignt,82,10.1,398690
Sfax,4/10/2024,35.3,73,0.9,497.28
Sfax,6/22/2024,33.4,39,13,454.91
Sousse,7/5/2024,39.7,50,18.3,455.24
Tunis,3/30/2024,34.7,69,18,484.78
Nabeul,12/28/2024,22.1,79,3.3,391.91
Tunis,10/22/2024,15.9,69,14.9,496.1
Gabès,5/5/2024,17.1,30,17.5,417.92
Gabès,7/6/2024,vignt,34,13.7,398.99
Gabès,8/22/2024,22,63,8.7,397.92
Nabeul,6/24/2024,36.1,21,1.4,415.46
Sousse,12/20/2024,23.1,93,8.9,384.11
Sousse,8/15/2024,vignt,49,19.4,489.13
Sfax,10/6/2024,44.6,46,6.1,397
Gabès,9/3/2024,23.8,98,5.5,429.94
Sousse,9/16/2024,34.7,63,15.1,387.86
Gabès,6/25/2024,38.2,98,11.6,457.17
Gabès,11/28/2024,24,,3.3,373090
Nabeul,11/7/2024,31.9,94,18,490.3
Sousse,11/9/2024,12.1,28,5,375.89
Nabeul,9/7/2024,19.9,72,17.1,352.21
Gabès,3/2/2024,vignt,47,14.8,486880
Sfax,8/27/2024,vignt,,10,400.64
Gabès,10/1/2024,11.3,54,12.1,426.43
Gabès,7/12/2024,17.8,92,12.8,442.34
Tunis,11/17/2024,30.1,68,6.8,476.73
Gabès,4/29/2024,38.1,82,8,358.12
Nabeul,9/20/2024,vignt,88,11.6,443.01
Gabès,4/24/2024,41.4,42,14.5,454.24
Gabès,7/2/2024,37.5,43,4.8,464.05
Sousse,8/5/2024,15.6,51,12.2,487.92
Sousse,11/12/2024,1136.8,39,8.6,387.3
Sousse,5/15/2024,41,91,11.1,350.03
Nabeul,1/1/2025,36.6,79,12.7,390.91
Sfax,4/10/2024,10.5,91,11.8,443.01
Sfax,4/22/2024,17.6,32,18.9,379.18
Sousse,10/24/2024,760,66,1.2,491.69
Gabès,10/21/2024,27.5,48,2.4,486.48
Tunis,3/21/2024,vignt,,5.7,466.78
Tunis,4/5/2024,933.1,93,17.4,421.55
Tunis,9/24/2024,21.3,61,13.2,353.55
Gabès,12/28/2024,vignt,,7.1,487.54
Tunis,7/5/2024,vignt,61,5.5,400620
Tunis,6/21/2024,28.2,99,7.5,357.34
Tunis,3/24/2024,17.7,84,9.6,385.5
Gabès,1/9/2025,40.8,38,10.1,378.18
Nabeul,4/11/2024,31.5,83,14.8,431.1
Nabeul,5/13/2024,42.5,84,1.6,444.62
Tunis,7/22/2024,25.6,46,1.7,494.02
Nabeul,12/17/2024,28,27,1.2,479.17
Sfax,9/29/2024,vignt,95,15.8,385.03
Sousse,8/10/2024,34.9,58,5.4,385.35
Gabès,4/3/2024,32.6,,11.5,381270
Sfax,12/14/2024,vignt,,2.9,419.54
Gabès,1/23/2024,10.6,54,6.4,434.88
Nabeul,10/30/2024,30.1,87,10.1,467.52
Gabès,9/26/2024,38.6,98,12,432.54
Nabeul,12/19/2024,25.5,43,10.1,389.82
Sfax,6/11/2024,vignt,91,8,396.16
Sfax,6/16/2024,29.5,94,4.5,425.15
Nabeul,7/14/2024,34.8,40,6.3,467.9
Nabeul,2/16/2024,25,79,13.2,486.54
Tunis,3/31/2024,14.3,37,7.8,413.83
Sfax,6/23/2024,22.6,,2.1,415.63
Sfax,8/5/2024,19.2,85,8.3,470.13
Nabeul,5/15/2024,36.8,96,17.5,478.02
Gabès,7/7/2024,20,26,6.6,433.4
Tunis,3/27/2024,37.7,94,13.2,358780
Nabeul,11/13/2024,36.6,78,17.2,368.57
Sousse,5/7/2024,10.2,48,6.2,499.12
Sousse,10/10/2024,32.7,60,11.6,388.94
Gabès,1/28/2024,35.4,,4.3,389.16
Nabeul,3/27/2024,vignt,70,5.7,415.85
Sousse,2/8/2024,30.4,53,15.5,355.7
Sfax,2/16/2024,518.1,68,5.6,383.02
Gabès,4/30/2024,41.4,35,12.5,372.45
Sfax,5/9/2024,29.4,32,6.9,446.46
Sfax,6/22/2024,1366.4,,7,480.31
Sousse,6/6/2024,29.2,79,17.9,487.06
Gabès,5/20/2024,12.7,42,19.4,433.11
Sfax,7/27/2024,24.1,64,5.1,469.73
Gabès,8/8/2024,vignt,,13.8,365.37
Sfax,2/3/2024,39.9,,19.8,400200
Tunis,5/15/2024,27.9,25,17.4,411.49
Gabès,10/28/2024,36.1,92,17.2,462.03
Gabès,1/3/2025,31.1,77,19.6,377.03
Sousse,9/28/2024,vignt,29,2.9,388.23
Gabès,5/29/2024,35.3,100,14.3,429.25
Tunis,6/13/2024,40.1,23,14.6,367.69
Gabès,7/4/2024,22.9,93,7.9,390.09
Sfax,9/28/2024,23.8,,16.9,360430
Nabeul,1/2/2025,vignt,,3.9,402020
Sousse,4/29/2024,33.2,66,14.6,457.59
Nabeul,1/29/2024,13.2,74,9,494.25
Nabeul,11/5/2024,26.9,41,17.8,414.67
Sfax,6/5/2024,11.5,60,19.8,350.57
Sousse,5/5/2024,11.8,21,16.3,442.72
Sfax,8/25/2024,43.3,25,7.9,424.61
Nabeul,7/5/2024,34.4,21,19,362.13
Sfax,10/25/2024,326.4,94,14.4,438.69
Sousse,1/15/2025,27.9,64,13.7,454.36
Sfax,3/21/2024,18.1,31,8.3,409.12
Gabès,5/10/2024,28.4,36,1.3,464.35
Sousse,1/16/2025,22.1,92,2.7,422.52
Gabès,1/7/2025,516,,9.2,368.57
Sousse,4/19/2024,43.7,73,19.5,417.28
Gabès,1/31/2024,1058.4,91,6.9,397.65
Nabeul,6/22/2024,16.5,94,15,436.19
Gabès,2/19/2024,43.7,81,7.2,374.68
Tunis,8/19/2024,14.3,80,6.2,353.53
Tunis,10/9/2024,11,91,5.2,398.06
Sousse,1/26/2024,1097.6,68,1,352.67
Nabeul,7/25/2024,39.4,84,4.5,379.44
Tunis,10/18/2024,1218,,6.4,480850
Sousse,4/6/2024,vignt,,2.3,495450
Tunis,3/14/2024,34.2,51,15.8,494.68
Sousse,5/31/2024,37.6,45,2.1,426.26
Sousse,4/20/2024,26.5,33,10.7,369.99
Sfax,5/28/2024,43.9,78,16.2,464.32
Sousse,7/2/2024,42.3,31,6.6,409.45
Sfax,12/28/2024,44.8,55,16.8,356.24
Nabeul,12/24/2024,43.6,73,9.2,370.76
Sousse,8/15/2024,14.1,23,0.9,378.24
Nabeul,6/27/2024,12.6,77,12.6,436.25
Nabeul,6/3/2024,26.1,89,17,408.24
Sfax,4/26/2024,24.5,84,13.1,419.65
Sfax,6/1/2024,19.2,68,2.6,428.73
Gabès,8/20/2024,20.8,90,1.8,441.37
Tunis,9/26/2024,27.8,43,16,386.3
Tunis,11/27/2024,440.3,43,12.3,366.93
Nabeul,5/6/2024,33.7,65,9.6,438.76
Gabès,11/29/2024,10.3,,5.3,457.8
Gabès,10/30/2024,40,42,3.8,411.99
Tunis,3/7/2024,13.8,51,3.4,492.79
Gabès,4/30/2024,30,40,18,449.17
Tunis,3/8/2024,10.1,,8.5,366300
Sousse,8/31/2024,16.6,100,18.1,454.6
Gabès,12/8/2024,44.9,46,1.6,458.75
Sousse,6/23/2024,12.2,27,9.6,442.29
Sousse,4/5/2024,13.8,67,2.6,397.06
Sfax,2/9/2024,319,67,5.1,403.18
Gabès,3/12/2024,19.2,96,4.9,390.72
Gabès,6/17/2024,43.2,43,16.2,446.91
Sousse,10/9/2024,21.3,47,9.5,387.09
Nabeul,1/26/2024,25,66,17.6,420.54
Sfax,11/3/2024,32.5,24,17.8,375.88
Tunis,11/28/2024,40.8,21,6.6,474.02
Sfax,10/14/2024,17.4,78,10.1,443.61
Nabeul,5/18/2024,3465,57,19.9,397.22
Tunis,10/5/2024,33.3,61,7.9,412.45
Nabeul,8/30/2024,15.3,57,18,372.93
Sfax,9/23/2024,25,100,0.5,456.24
Sousse,3/29/2024,vignt,51,12.6,380.81
Nabeul,8/7/2024,25,,18.5,497.57
Gabès,11/11/2024,vignt,80,12.3,398920
Tunis,3/18/2024,24.5,75,1.7,354.84
Nabeul,4/24/2024,13,74,6.6,428.9
Gabès,10/6/2024,23.7,94,18.4,461.21
Gabès,12/31/2024,10.4,55,14.5,350.99
Gabès,4/6/2024,44.8,71,17.7,458.43
Sfax,3/11/2024,43.7,40,13.6,371.92
Sfax,9/3/2024,25.1,81,8,387.17
Tunis,11/30/2024,vignt,39,1.4,469.84
Sousse,10/12/2024,vignt,57,1.1,450.67
Sousse,11/6/2024,25.6,52,1.3,382.61
Gabès,1/1/2025,16.8,31,10,401.39
Gabès,8/2/2024,15.5,54,2.7,409.81
Sfax,9/29/2024,37,31,19.4,427.26
Nabeul,1/13/2025,24.1,76,16,458.67
Gabès,4/26/2024,37.2,68,1.1,494.11
Sousse,5/13/2024,40.1,79,7.5,472.86
Tunis,7/27/2024,23.9,35,14.5,373.6
Nabeul,10/22/2024,17.6,27,16.7,414.31
Gabès,6/10/2024,552,68,4.5,482.39
Sousse,8/30/2024,14.8,90,1.4,472.06
Gabès,11/24/2024,36.6,51,17.6,490.55
Nabeul,2/3/2024,27.8,89,5.7,416.02
Tunis,1/5/2025,29,37,13.9,425.51
Sousse,6/15/2024,16.9,72,4.7,470.35
Sfax,1/2/2025,36.6,63,13.7,388.16
Nabeul,7/31/2024,15.9,21,1.6,419.96
Sousse,6/11/2024,14.9,75,4,400.2
Tunis,8/7/2024,28.9,72,3.7,396.93
Sfax,6/12/2024,10.6,74,12.9,492.08
Sousse,9/2/2024,36.4,100,0.8,397.11
Sfax,1/13/2025,42.2,83,10,479.73
Nabeul,11/18/2024,31.2,94,9.1,498.64
Sousse,4/4/2024,12.8,57,3.3,431200
Sousse,1/13/2025,1795.2,46,11.5,431.19
Sfax,4/9/2024,12.4,33,19.3,393.72
Sousse,4/21/2024,18.9,46,12.2,367.51
Gabès,10/13/2024,22.6,85,13.7,449.74
Nabeul,6/19/2024,11.5,21,2.8,410.1
Gabès,7/29/2024,14.9,36,15.2,499750
Gabès,5/11/2024,35.4,74,8.5,416.69
Sfax,7/27/2024,39.6,96,14.1,386.13
Tunis,7/24/2024,vignt,54,1,443.59
Gabès,2/15/2024,31.6,28,1.9,493.2
Tunis,8/3/2024,15.7,45,6.6,378.76
Tunis,5/24/2024,22.7,21,7,386.8
Sfax,10/20/2024,44.3,86,4.4,467.3
Sfax,10/11/2024,12.7,44,1.3,429.69
Gabès,9/14/2024,17.1,100,13.2,389.35
Tunis,8/11/2024,22.6,32,12.8,402.25
Sousse,3/20/2024,28.7,75,16.8,437.72
Gabès,10/7/2024,19.9,40,14.8,467.08
Nabeul,3/27/2024,28.2,60,7.8,390.29
Gabès,3/28/2024,23.9,42,4.3,399.5
Nabeul,7/7/2024,31.8,88,13.9,451.89
Sousse,2/1/2024,12.6,89,12.3,432.81
Tunis,5/12/2024,vignt,69,14.6,485.05
Gabès,8/27/2024,28.2,60,10.9,451.38
Sousse,1/13/2025,39.8,66,18.9,443.68
Tunis,5/7/2024,28.1,51,17.4,429.45
Gabès,10/2/2024,17.1,98,20,375.46
Nabeul,12/28/2024,37.5,93,7.5,484.94
Gabès,2/19/2024,22.6,35,8.7,423.96
Gabès,1/23/2024,18,70,2,447.88
Nabeul,9/20/2024,19.8,52,8.5,433.8
Gabès,9/16/2024,27.2,94,19.4,499.57
